"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"298","SPHK2",0.00801,0.773780337943775,"YES","NO","NO"
"299","KLHL5",0.00806,0.774471100112596,"YES","NO","NO"
"300","PKN2",0.0081,0.775157404328705,"YES","NO","NO"
"301","DCAF5",0.00811,0.775839184894136,"YES","NO","NO"
"302","KLHL1",0.00814,0.776516559169138,"YES","NO","NO"
"303","ZNF547",0.00831,0.777190067057089,"YES","NO","NO"
"304","NRXN2",0.00867,0.777860368078029,"YES","NO","NO"
"305","IL7R",0.00871,0.778526405098632,"YES","NO","NO"
"306","RFX1",0.00871,0.779188088936094,"YES","NO","NO"
"307","ARSD",0.00875,0.7798455918971,"YES","NO","NO"
"308","NLGN4X",0.00876,0.780498857572414,"YES","NO","NO"
"309","CTNNAL1",0.0088,0.781148022945668,"YES","NO","NO"
"310","SLC4A3",0.358,0.78179306051542,"NO","NO","NO"
"311","ZNF8",0.00886,0.782434079034994,"YES","NO","NO"
"312","XIRP2",0.00888,0.783071050972206,"YES","NO","NO"
"313","USP13",0.00889,0.783703983886916,"YES","NO","NO"
"314","ZNF777",0.009,0.784333223212017,"YES","NO","NO"
"315","FARS2",0.361,0.784958505022691,"NO","NO","NO"
"316","MCHR2",0.00906,0.785579972635309,"YES","NO","NO"
"317","RBP2",0.00923,0.786198021531034,"YES","NO","NO"
"318","RADIL",0.00927,0.78681229934615,"YES","NO","NO"
"319","PPP3CA",0.0094,0.787423097239547,"YES","NO","NO"
"320","CSDE1",0.00942,0.788030133994675,"YES","NO","NO"
"321","PPCS",0.00955,0.788633749890805,"YES","NO","NO"
"322","EZR",0.00957,0.789233671453749,"YES","NO","NO"
"323","ATL1",0.00958,0.78982990560723,"YES","NO","NO"
"324","TREML4",0.371,0.790422729079373,"NO","NO","NO"
"325","ZDHHC19",0.376,0.7910128108772,"NO","NO","NO"
"326","RIMBP2",0.377,0.791599451086557,"NO","NO","NO"
"327","ARHGEF7",0.0101,0.792182508545422,"NO","NO","NO"
"328","RFX4",0.0102,0.79276225932096,"NO","NO","NO"
"329","KIF3A",0.0105,0.793339210143788,"NO","NO","NO"
"330","ZNF638",0.0106,0.793912898935014,"NO","NO","NO"
"331","SIK2",0.384,0.794483127254215,"NO","NO","NO"
"332","EMX2",0.011,0.795050818928794,"NO","NO","NO"
"333","SCAI",0.0112,0.795615535630785,"NO","NO","NO"
"334","AZGP1",0.0113,0.796177083584222,"NO","NO","NO"
"335","DDX50",0.394,0.796735397690007,"NO","NO","NO"
"336","TAOK2",0.0115,0.797290685812018,"NO","NO","NO"
"337","SYNGR4",0.0115,0.797842678455561,"NO","NO","NO"
"338","TGOLN2",0.0115,0.798391404870443,"NO","NO","NO"
"339","RPTOR",0.396,0.798936918442154,"NO","NO","NO"
"340","SRRM1",0.0117,0.799479600015578,"NO","NO","NO"
"341","ZNF793",0.0117,0.800019098705873,"NO","NO","NO"
"342","TRIM67",0.0119,0.800555832386353,"NO","NO","NO"
"343","ATG9B",0.0122,0.80109000354705,"NO","NO","NO"
"344","SEMA6D",0.0128,0.801622146081486,"NO","NO","NO"
"345","MX2",0.413,0.80215137923237,"NO","NO","NO"
"346","TRPM6",0.435,0.802680640426788,"NO","NO","NO"
"347","COL22A1",0.436,0.803206985349656,"NO","NO","NO"
"348","ZNF221",0.015,0.803730323653298,"NO","NO","NO"
"349","ABCA1",0.0154,0.804251207024078,"NO","NO","NO"
"350","LARP1",0.0156,0.804769378143296,"NO","NO","NO"
"351","FAM111A",0.016,0.805285110254446,"NO","NO","NO"
"352","SSPN",0.447,0.80579800493054,"NO","NO","NO"
"353","PIP5K1B",0.0161,0.806308026061736,"NO","NO","NO"
"354","TFDP2",0.0162,0.806815289296615,"NO","NO","NO"
"355","ESYT1",0.0164,0.807319938120203,"NO","NO","NO"
"356","TMOD1",0.0167,0.807822108530838,"NO","NO","NO"
"357","PARP1",0.017,0.808321812828902,"NO","NO","NO"
"358","AKAP14",0.017,0.808818725482842,"NO","NO","NO"
"359","ELL2",0.0171,0.809312983074478,"NO","NO","NO"
"360","TRIOBP",0.457,0.809804513397252,"NO","NO","NO"
"361","KRIT1",0.0177,0.810293959550119,"NO","NO","NO"
"362","RNF208",0.0182,0.810781225464456,"NO","NO","NO"
"363","ATXN1",0.0182,0.811265806718108,"NO","NO","NO"
"364","ANKRD11",0.0183,0.811747827316281,"NO","NO","NO"
"365","CAMTA2",0.0183,0.812227206705696,"NO","NO","NO"
"366","BMPR2",0.0183,0.812703966535607,"NO","NO","NO"
"367","RGS22",0.47,0.813178380799716,"NO","NO","NO"
"368","PRSS36",0.472,0.813650441041128,"NO","NO","NO"
"369","SRCAP",0.0192,0.814120339996683,"NO","NO","NO"
"370","AGAP2",0.0192,0.814587698957884,"NO","NO","NO"
"371","RUNX1T1",0.477,0.815052693233231,"NO","NO","NO"
"372","OR1L8",0.0194,0.815515218006164,"NO","NO","NO"
"373","RIC3",0.478,0.815975340702749,"NO","NO","NO"
"374","IL5RA",0.0196,0.816433106387789,"NO","NO","NO"
"375","MXD3",0.486,0.816889177069076,"NO","NO","NO"
"376","CA6",0.0208,0.817343109181683,"NO","NO","NO"
"377","RUNX1",0.021,0.817794796837345,"NO","NO","NO"
"378","PI4KA",0.0214,0.818244414830463,"NO","NO","NO"
"379","PACS1",0.0219,0.818692048145984,"NO","NO","NO"
"380","PARD3B",0.0232,0.819138277631626,"NO","NO","NO"
"381","SCN2A",0.0232,0.819582164705269,"NO","NO","NO"
"382","LMTK3",0.0235,0.820023936099088,"NO","NO","NO"
"383","HELLS",0.0235,0.820463400592678,"NO","NO","NO"
"384","SLC5A7",0.0236,0.820900644491574,"NO","NO","NO"
"385","DHX58",0.0236,0.821335616993593,"NO","NO","NO"
"386","ABHD12B",0.0246,0.821768994111114,"NO","NO","NO"
"387","ERAP1",0.518,0.822200229604497,"NO","NO","NO"
"388","PAX2",0.522,0.822629607302929,"NO","NO","NO"
"389","CDKAL1",0.0254,0.823056812760646,"NO","NO","NO"
"390","MYLK3",0.0258,0.823482067361273,"NO","NO","NO"
"391","DMXL2",0.026,0.823905264513419,"NO","NO","NO"
"392","KLHL30",0.528,0.824326445271074,"NO","NO","NO"
"393","ILDR2",0.0264,0.824745570877286,"NO","NO","NO"
"394","GPR148",0.0268,0.825162794302711,"NO","NO","NO"
"395","RMI2",0.0274,0.825578233901532,"NO","NO","NO"
"396","TMBIM1",0.536,0.825991626194549,"NO","NO","NO"
"397","PTPRH",0.0277,0.826403045020972,"NO","NO","NO"
"398","MGAT3",0.0278,0.826812449043188,"NO","NO","NO"
"399","DDX27",0.539,0.827219892792643,"NO","NO","NO"
"400","NCALD",0.028,0.827625311631708,"NO","NO","NO"
"401","GAB1",0.542,0.828028945671766,"NO","NO","NO"
"402","C6orf15",0.0291,0.828430886243328,"NO","NO","NO"
"403","NSL1",0.554,0.828831490408777,"NO","NO","NO"
"404","KLHL26",0.0306,0.829230158423892,"NO","NO","NO"
"405","MKI67",0.0308,0.829626947730604,"NO","NO","NO"
"406","HES1",0.56,0.830022116272999,"NO","NO","NO"
"407","BAP1",0.561,0.830415420418278,"NO","NO","NO"
"408","BORA",0.032,0.830806906968574,"NO","NO","NO"
"409","MYNN",0.032,0.831196479159211,"NO","NO","NO"
"410","RALGDS",0.563,0.831584194327639,"NO","NO","NO"
"411","ADAP1",0.0329,0.831970349435217,"NO","NO","NO"
"412","FLRT1",0.0332,0.832354749907355,"NO","NO","NO"
"413","PAPSS1",0.0333,0.832737328416036,"NO","NO","NO"
"414","F8",0.0335,0.83311813711984,"NO","NO","NO"
"415","ROR1",0.0336,0.833497149465326,"NO","NO","NO"
"416","OVOL2",0.0336,0.833874339636074,"NO","NO","NO"
"417","ROS1",0.0337,0.834249759260511,"NO","NO","NO"
"418","FCHO1",0.573,0.834623488479345,"NO","NO","NO"
